Country,Indicator,Value
Guinea,InfantMortality,45.8
Guinea-Bissau,InfantMortality,45.1
Guyana,InfantMortality,20.6
Haiti,InfantMortality,35
Honduras,InfantMortality,15.4
Hong Kong,InfantMortality,2.4
Hungary,InfantMortality,4.6
Iceland,InfantMortality,1.6
India,InfantMortality,30.5
Indonesia,InfantMortality,18.5
Iran,InfantMortality,9.7
Iraq,InfantMortality,18.3
Ireland,InfantMortality,3.2
Isle of Man,InfantMortality,4
Israel,InfantMortality,2.6
Italy,InfantMortality,3
Jamaica,InfantMortality,14.5
Japan,InfantMortality,1.8
Jersey,InfantMortality,3.7
Jordan,InfantMortality,12.9
Kazakhstan,InfantMortality,7.9
Kenya,InfantMortality,26.8
Kiribati,InfantMortality,30.8
"Korea, North",InfantMortality,14.7
"Korea, South",InfantMortality,2.2
Kosovo,InfantMortality,21
Kuwait,InfantMortality,7
Kyrgyzstan,InfantMortality,24
Laos,InfantMortality,34.2
Latvia,InfantMortality,2.4
Lebanon,InfantMortality,7.3
Lesotho,InfantMortality,52.2
Liberia,InfantMortality,55.2
Libya,InfantMortality,10.4
Liechtenstein,InfantMortality,3.8
Lithuania,InfantMortality,2.5
Luxembourg,InfantMortality,3.1
Macau,InfantMortality,4.3
Madagascar,InfantMortality,38.4
Malawi,InfantMortality,28.9
Malaysia,InfantMortality,6.3
Maldives,InfantMortality,23.7
Mali,InfantMortality,55.8
Malta,InfantMortality,4.6
Marshall Islands,InfantMortality,20.1
Mauritania,InfantMortality,29.9
Mauritius,InfantMortality,11.4
Mexico,InfantMortality,12.3
"Micronesia, Federated States of",InfantMortality,20.4
Moldova,InfantMortality,13.5
Monaco,InfantMortality,1.7
Mongolia,InfantMortality,8.6
Montenegro,InfantMortality,3.1
Montserrat,InfantMortality,9.4
Morocco,InfantMortality,17.8
Mozambique,InfantMortality,56.7
Namibia,InfantMortality,27.1
Nauru,InfantMortality,7.5
Nepal,InfantMortality,23.4
Netherlands,InfantMortality,3.6
New Caledonia,InfantMortality,4.8
New Zealand,InfantMortality,3.3
Nicaragua,InfantMortality,14.1
Niger,InfantMortality,63
Nigeria,InfantMortality,65.6
North Macedonia,InfantMortality,6.8
Northern Mariana Islands,InfantMortality,11.6
Norway,InfantMortality,1.8
Oman,InfantMortality,13.6
Pakistan,InfantMortality,50.3
Palau,InfantMortality,10.6
Panama,InfantMortality,13.2
Papua New Guinea,InfantMortality,31.3
Paraguay,InfantMortality,21.4
Peru,InfantMortality,10.6
Philippines,InfantMortality,18.5
Poland,InfantMortality,4.6
Portugal,InfantMortality,2.4
Puerto Rico,InfantMortality,5.7
Qatar,InfantMortality,6.2
Romania,InfantMortality,5.3
Russia,InfantMortality,6.4
Rwanda,InfantMortality,27.4
